project-01-db-1,0.95%,88.13MiB / 7.654GiB
project-01-graphql-service-1,2.45%,204.6MiB / 7.654GiB
project-01-grpc-service-1,0.00%,736.7MiB / 7.654GiB
project-01-rest-service-1,1.28%,62.89MiB / 7.654GiB
project-01-db-1,0.69%,88.15MiB / 7.654GiB
project-01-graphql-service-1,3.35%,171.7MiB / 7.654GiB
project-01-grpc-service-1,0.00%,736.6MiB / 7.654GiB
project-01-rest-service-1,1.54%,63.38MiB / 7.654GiB
project-01-db-1,1.05%,88.38MiB / 7.654GiB
project-01-graphql-service-1,2.08%,172.2MiB / 7.654GiB
project-01-grpc-service-1,0.00%,728.5MiB / 7.654GiB
project-01-rest-service-1,1.43%,62.97MiB / 7.654GiB
project-01-db-1,0.91%,88.14MiB / 7.654GiB
project-01-graphql-service-1,2.57%,174MiB / 7.654GiB
project-01-grpc-service-1,0.00%,728.1MiB / 7.654GiB
project-01-rest-service-1,1.55%,63MiB / 7.654GiB
project-01-db-1,1.52%,88.39MiB / 7.654GiB
project-01-graphql-service-1,4.48%,174.6MiB / 7.654GiB
project-01-grpc-service-1,0.00%,728.1MiB / 7.654GiB
project-01-rest-service-1,3.23%,63.06MiB / 7.654GiB
project-01-db-1,4.89%,71.64MiB / 7.654GiB
project-01-graphql-service-1,2.37%,180MiB / 7.654GiB
project-01-grpc-service-1,0.00%,718.3MiB / 7.654GiB
project-01-rest-service-1,1.32%,64.26MiB / 7.654GiB
project-01-db-1,0.71%,93.04MiB / 7.654GiB
project-01-graphql-service-1,2.77%,180.2MiB / 7.654GiB
project-01-grpc-service-1,0.00%,718.3MiB / 7.654GiB
project-01-rest-service-1,1.63%,65.48MiB / 7.654GiB
project-01-db-1,0.90%,93.04MiB / 7.654GiB
project-01-graphql-service-1,6.74%,181.5MiB / 7.654GiB
project-01-grpc-service-1,0.00%,709.3MiB / 7.654GiB
project-01-rest-service-1,1.51%,66.17MiB / 7.654GiB
project-01-db-1,1.01%,93.09MiB / 7.654GiB
project-01-graphql-service-1,1.67%,185.5MiB / 7.654GiB
project-01-grpc-service-1,0.00%,709.3MiB / 7.654GiB
project-01-rest-service-1,1.12%,67.53MiB / 7.654GiB
project-01-db-1,0.70%,93.33MiB / 7.654GiB
project-01-graphql-service-1,2.44%,188.5MiB / 7.654GiB
project-01-grpc-service-1,0.00%,701.9MiB / 7.654GiB
